	5.0	4.0	1.0	3.0	2.0	accuracy	macro avg	weighted avg
f1-score	0.8104166666666667	0.48072562358276644	0.7419354838709676	0.3718309859154929	0.32280701754385965	0.6545	0.5455431555159507	0.6404043045401522
precision	0.759765625	0.5083932853717026	0.7263157894736842	0.4647887323943662	0.3484848484848485	0.6545	0.5615496561449203	0.6338776350211696
recall	0.8683035714285714	0.4559139784946237	0.7582417582417582	0.30985915492957744	0.3006535947712418	0.6545	0.5385944115731545	0.6545
support	896.0	465.0	273.0	213.0	153.0	0.6545	2000.0	2000.0
